                                                                                                                                      ,BLM01,BLM02,BLM03,BLM04,BLM05,BLM06,BLM07,BLM08,BLM09,BLM10,A01  ,A02  ,A03  ,A04  ,A05  ,A06  ,A07  ,A08  ,A09  ,A10  ,A11  ,A12  ,A13  ,A14  ,A15  ,EX1  ,EX2  ,EX3  ,EX4  ,EX5  ,EX6  ,EX7  ,GR01 ,GR02 ,GR03 ,GR04 ,GR05 ,GR06 ,GR07 ,GR08 ,GR09 ,GR10 ,GR11 ,L1   ,L2   ,L8   ,L10  ,LD1  ,LD2  ,LD3  ,LD4  ,LD5  ,LD6  ,LD7  ,LD8  ,LV01 ,LV02 ,LV03 ,LV04 ,LV05 ,R101 ,R102 ,R103 ,R104 ,R105 ,R201 ,R202 ,R203 ,R204 ,R205 ,R206 ,R207 ,R208 ,R301 ,R302 ,R401 ,R402 ,R403 ,R404 ,R501 ,R602 ,R604 ,R605 ,R801 ,R802 ,R901 ,R902 ,R001 ,R002 ,R003 ,R004 ,R005 ,R006 ,R007 ,R008 ,R009 ,SC1  ,SC2  ,SC3  ,ST1  ,ST2  ,ST3  ,ST4  ,TC1  ,TC2  ,TC3  ,TC4  ,TC6  ,TC8  ,TC10 ,TC12 ,TC19 ,TC20 ,TC21 ,TC22 ,TC24 ,TC51 ,TC52 ,TC53 ,TC54 ,TC56 ,TC57 ,TC58 ,TC59 ,TC60 ,TC62 ,TC65 ,TC71 ,TC72 ,TC74 ,TL2  ,TL6  ,TL7  ,TL8  ,TL9  ,TL10 ,TL12 ,TL52 ,TL54 ,TL56 ,TL58 ,TL59 ,TL60 ,TL62 ,UC1  ,UC2  ,UC3  ,UC4  ,UC5  ,UC6  ,UC7  ,UC8  ,UC9  ,UC10 ,UC11 ,UC12 ,UC13 ,UC14 ,UC15 ,UC16 ,UC17 ,UC18 ,UC19 ,UC20 ,UC21 ,UC22 ,UC23 ,UC24 ,UC25 ,UC26 ,VSM1 ,VSM2 ,VSM3 ,VSM4 ,VSM5 ,VSM6 ,VPA1 ,VPA2 ,VPA3 ,VAL1 ,VAL2 ,VAL3 ,TIM  ,WT1  ,WT2  ,WT3  ,WT4  ,WT5  ,IDL1 ,TEA  
\12345 Region6TestTemplateData Timber Sale - TS.crz3                                                                              ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     
\Issues\02376_Cowboy Salvage_TS_202405071110_GalaxyTabActive3-18CJU.process.cruise                                                ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,X    ,     ,     ,     
\Issues\20383_Jiffy Stewardship_TS.crz3                                                                                           ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,X    ,     ,     ,X    ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     
\OgTest\Region1\R1_FrenchGulch.cruise                                                                                             ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
\OgTest\Region10\R10.cruise                                                                                                       ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
\OgTest\Region2\R2_Test.cruise                                                                                                    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
\OgTest\Region3\R3_FCM_100.cruise                                                                                                 ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,X    ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,X    ,X    ,     ,     
\OgTest\Region3\R3_PCM_FIXCNT.cruise                                                                                              ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,X    ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,X    ,X    ,     ,     
\OgTest\Region3\R3_PNT_FIXCNT.cruise                                                                                              ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,X    ,     ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,X    ,X    ,     ,     
\OgTest\Region4\R4_McDougal.cruise                                                                                                ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,X    ,     ,X    ,     ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,X    ,X    ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,     
